date,close
1920-07-31,16.2
1920-08-31,13.6
1920-09-30,12.575
1920-10-30,10.95
1920-11-30,8.65
1920-12-31,5.5
1921-01-31,6.7
1921-02-28,6.3
1921-03-31,6.7
1921-04-30,7.275
1921-05-31,7.2
1921-06-30,6.6
1921-07-30,5.8
1921-08-31,4.875
1921-09-30,5.6
1921-10-31,5.6
1921-11-30,6.75
1921-12-31,10.5
1922-01-31,14.2
1922-02-28,14.3
1922-03-31,16.0
1922-04-29,18.0
1922-05-31,18.9
1922-06-30,16.0
1922-07-31,16.85
1922-08-31,16.5
1922-09-30,16.9
1922-10-31,16.7
1922-11-29,18.0
1922-12-30,22.65
1923-01-31,24.4
1923-02-28,27.9
1923-03-31,48.0
1923-04-30,28.0
1923-05-31,22.0
1923-06-30,16.0
1923-07-31,12.0
1923-09-30,12.0
1923-10-31,7.0
1923-11-30,6.0
1923-12-31,6.0
1924-01-31,6.0
1924-02-29,7.0
1924-03-31,6.0
1924-04-30,8.2
1924-05-31,10.0
1924-06-30,6.8
1924-07-31,9.0
1924-08-31,11.2
1924-09-30,9.0
1925-02-28,10.4
1925-03-31,8.5
1925-04-30,15.0
1925-07-31,18.0
1925-08-31,17.0
1925-09-30,17.5
1925-10-31,17.4
1925-11-30,20.2
1925-12-31,20.0
1926-01-31,20.0
1926-02-28,19.2
1926-04-30,17.0
1926-05-31,18.0
1926-06-30,20.0
1926-07-31,20.0
1926-09-30,17.5
1926-10-31,15.5
1926-11-30,16.5
1926-12-31,18.0
1927-01-31,16.5
1927-02-28,16.0
1927-03-31,14.5
1927-04-30,15.375
1927-05-31,16.125
1927-06-30,15.5
1927-08-31,23.5
1927-09-30,26.5
1927-10-31,25.5
1927-11-30,27.0
1928-01-31,25.5625
1928-02-29,25.25
1928-03-31,27.875
1928-04-30,29.25
1928-05-31,28.75
1928-06-30,26.5
1928-07-31,26.25
1928-08-31,35.375
1928-09-30,41.375
1928-10-31,49.0
1928-11-30,49.5625
1928-12-31,50.0
1929-01-31,52.0
1929-02-28,47.5
1929-03-31,47.5
1929-04-30,45.125
1929-05-31,46.0
1929-06-30,46.0
1929-07-31,40.0
1929-08-31,44.0
1929-09-30,40.0
1929-10-30,35.0
1929-11-30,15.0
1929-12-31,15.0
1930-01-31,10.0
1930-02-28,10.0
1930-03-31,10.0
1930-04-30,10.0
1930-05-31,10.0
1930-06-30,10.0
1930-07-31,10.0
1930-08-31,10.0
1930-09-30,10.0
1930-10-31,10.0
1930-11-30,10.0
1930-12-31,7.5
1931-01-31,7.5
1931-02-28,7.5
1931-03-31,7.5
1931-04-30,7.5
1931-05-31,7.5
1931-06-30,7.5
1931-07-31,9.5
1931-08-31,8.5
1931-09-30,8.5
1931-10-31,8.5
1931-11-30,8.0
1931-12-31,7.0
1932-01-31,7.0
1932-02-29,7.0
1932-03-31,6.75
1932-04-30,6.5
1932-05-31,7.0
1932-06-30,5.5
1932-07-31,6.0
1932-08-31,6.0
1932-09-30,6.0
1932-10-31,4.75
1932-11-30,5.25
1932-12-31,5.25
1933-01-31,5.25
1933-02-28,5.25
1933-03-31,4.25
1933-04-30,4.25
1933-05-31,4.25
1933-06-30,4.25
1933-07-31,4.25
1933-08-31,4.25
1933-09-30,4.5
1933-10-31,4.5
1933-11-30,4.5
1933-12-31,4.5
1934-01-31,4.5
1934-02-28,4.5
