date,close
1895-06-29,101.0
1895-07-08,101.0
1895-08-15,100.0
1895-09-30,100.0
1895-10-31,100.0
1895-11-30,100.0
1895-12-31,100.0
1897-12-23,95.0
1898-01-31,107.5
1898-02-28,107.5
1898-03-31,107.5
1898-04-30,107.5
1898-05-31,107.5
1898-06-30,107.5
1898-07-30,107.5
1898-08-31,107.5
1898-09-30,107.5
1898-10-31,107.5
1898-11-30,107.5
1898-12-12,107.5
1899-01-06,117.5
1899-01-31,135.25
1899-02-01,137.75
1899-02-28,140.0
1899-03-07,140.0
1899-03-29,139.5
1899-04-11,138.5
1899-04-28,137.0
1899-05-20,136.0
1899-05-23,137.0
1899-06-08,137.0
1899-06-19,138.875
1899-07-07,138.0
1899-07-24,138.0
1899-08-28,136.5
1899-09-25,138.0
1899-10-09,138.25
1899-10-19,137.0
1899-11-15,134.0
1899-11-27,138.5
1899-12-06,137.0
1899-12-11,137.0
1900-01-02,137.0
1900-01-31,139.0
1900-02-02,139.0
1900-02-07,139.0
1900-03-14,139.0
1900-03-29,139.0
1900-04-07,140.0
1900-04-30,141.0
1900-05-04,141.0
1900-06-30,141.125
1900-07-31,141.125
1900-08-31,141.125
1900-09-29,141.125
1900-10-11,141.0
1900-10-25,140.5
1900-11-20,141.0
1900-12-07,146.0
1901-01-16,144.5
1901-02-16,143.0
1901-02-25,147.0
1901-03-12,147.125
1901-03-19,147.375
1901-04-24,141.0
1901-05-31,147.0
1901-06-29,147.0
1901-07-11,148.0
1901-08-28,148.0
1901-09-06,154.0
1901-09-10,157.0
1901-10-31,157.0
1901-11-25,158.0
1901-11-30,160.0
1901-12-06,158.0
1902-01-31,158.0
1902-02-20,159.0
1902-02-28,158.0
1902-03-31,158.0
1902-04-30,158.0
1902-05-15,157.0
1902-06-30,157.0
1902-07-31,157.0
1902-08-05,156.25
1902-09-30,156.25
1902-10-31,158.0
1902-11-29,158.0
1902-12-31,158.0
1903-01-12,159.0
1903-02-09,159.0
1903-03-27,156.0
1903-04-30,156.0
1903-05-18,155.0
1903-06-02,155.0
1903-07-31,155.0
1903-08-31,155.0
1903-09-30,155.0
1903-10-31,155.0
1903-11-30,155.0
1903-12-28,159.25
1904-01-30,159.5
1904-02-29,159.5
1904-03-31,159.5
1904-04-30,159.5
1904-05-31,159.5
1904-06-30,159.5
1904-07-30,159.5
1904-08-31,158.0
1904-09-30,158.0
1904-10-31,158.0
1904-11-30,165.0
1904-12-31,165.0
1905-01-31,155.0
1905-02-28,155.0
1905-03-31,156.625
1905-04-29,154.0
1905-05-31,155.625
1905-06-30,160.0
1905-07-31,160.0
1905-08-31,160.0
1905-09-30,160.0
1905-10-31,160.0
1905-11-29,160.0
1905-12-30,160.0
1906-01-31,150.0
1906-02-28,150.0
1906-03-31,150.0
1906-04-30,150.0
1906-05-31,150.0
1906-06-30,150.0
1906-07-31,150.0
1906-08-31,150.0
1906-09-29,150.0
1906-10-31,150.0
1906-11-30,150.0
1906-12-30,150.0
1907-01-31,115.0
1907-02-28,115.0
1907-03-29,115.0
1907-04-30,115.0
1907-05-31,115.0
1907-06-29,115.0
1907-07-31,115.0
1907-08-30,115.0
1907-09-30,115.0
1907-10-31,115.0
1907-11-30,100.0
1907-12-31,100.0
1908-01-31,122.0
1908-02-29,124.0
1908-03-31,124.0
1908-04-30,124.0
1908-05-29,123.0
1908-06-30,123.0
1908-07-31,123.0
1908-08-31,123.0
1908-09-30,123.0
1908-10-31,123.0
1908-11-30,120.0
1908-12-31,120.0
1909-01-30,120.0
1909-02-27,125.0
1909-03-31,125.0
1909-04-30,125.0
1909-05-28,125.0
1909-06-30,130.0
