date,close
1949-02-28,3.125
1949-03-31,3.75
1949-04-30,3.5
1949-05-31,3.5
1949-06-30,3.375
1949-07-30,3.4375
1949-08-31,3.5
1949-09-30,3.125
1949-10-31,3.25
1949-11-30,2.875
1949-12-31,3.75
1950-01-31,4.3125
1950-02-28,4.375
1950-03-31,3.5
1950-04-29,3.875
1950-05-31,3.375
1950-06-30,3.125
1950-07-31,3.25
1950-08-31,3.375
1950-09-30,3.75
1950-10-31,3.375
1950-11-30,3.375
1950-12-29,3.4375
1951-01-31,4.0
1951-02-28,4.0
1951-03-31,3.375
1951-04-30,3.375
1951-05-31,3.625
1951-06-29,3.375
1951-07-31,3.375
1951-08-31,3.75
1951-09-28,4.625
1951-10-31,4.25
1951-11-30,4.0
1951-12-31,3.75
1952-01-31,4.375
1952-02-29,4.0
1952-03-31,3.875
1952-04-30,4.0
1952-05-29,4.0
1952-06-30,4.125
1952-07-31,4.0
1952-08-29,4.0
1952-09-30,4.375
1952-10-31,3.625
1952-11-28,3.75
1952-12-31,4.125
1953-01-30,3.75
1953-02-27,3.875
1953-03-31,3.75
1953-04-30,3.5
1953-05-29,3.375
1953-06-30,3.25
1953-07-31,3.25
1953-08-31,3.25
1953-09-30,3.125
1953-10-30,2.75
1953-11-30,3.125
1953-12-31,3.0
1954-01-29,2.875
1954-02-26,5.5
1954-03-31,6.0
1954-04-30,6.125
1954-05-28,6.125
1954-06-30,6.25
1954-07-30,6.625
1954-08-31,6.625
1954-09-30,6.5
1954-10-29,6.25
1954-11-30,6.375
1954-12-31,8.875
1955-01-31,8.0
1955-02-28,7.875
1955-03-31,8.0
1955-04-29,8.0625
1955-05-31,9.125
1955-06-30,9.75
1955-07-29,8.5
1955-08-31,7.625
1955-09-30,8.0
1955-10-31,7.25
1955-11-30,7.25
1955-12-30,8.875
1956-01-31,8.375
1956-02-29,8.25
1956-03-29,8.5
1956-04-30,8.375
1956-05-31,8.25
1956-06-29,7.9375
1956-07-31,7.4375
1956-08-31,7.125
1956-09-28,6.625
1956-10-31,6.625
1956-11-30,6.25
1956-12-31,6.75
1957-01-31,8.0
